,FIBA_P&R Ball Handler,FIBA_Spot-Up,FIBA_Transition,FIBA_ISO,FIBA_Post-Up,FIBA_P&R Roll Man,FIBA_Cut,FIBA_Offensive Rebound,FIBA_Off Screen,FIBA_Hand Off,FIBA_Cluster,INTL_P&R Ball Handler,INTL_Spot-Up,INTL_Transition,INTL_ISO,INTL_Post-Up,INTL_P&R Roll Man,INTL_Cut,INTL_Offensive Rebound,INTL_Off Screen,INTL_Hand Off,INTL_Cluster,NBA_P&R Ball Handler,NBA_Spot-Up,NBA_Transition,NBA_ISO,NBA_Post-Up,NBA_P&R Roll Man,NBA_Cut,NBA_Offensive Rebound,NBA_Off Screen,NBA_Hand Off,NBA_Cluster
6250,69,74,48,19,1,0,1,7,23,3,6,,,,,,,,,,,,,,,,,,,,,,
7486,102,34,33,18,0,0,20,12,7,19,1,,,,,,,,,,,,,,,,,,,,,,
8361,0,20,7,3,125,39,32,16,2,0,5,,,,,,,,,,,,,,,,,,,,,,
6227,97,30,58,24,2,0,9,13,4,6,1,,,,,,,,,,,,,,,,,,,,,,
6355,92,65,25,17,5,1,5,16,7,10,1,,,,,,,,,,,,,,,,,,,,,,
7003,79,36,51,17,0,1,12,16,20,11,1,,,,,,,,,,,,,,,,,,,,,,
7643,153,26,22,29,0,0,1,4,6,2,2,,,,,,,,,,,,,,,,,,,,,,
6111,4,82,32,9,43,13,29,19,11,0,0,,,,,,,,,,,,,,,,,,,,,,
6511,108,54,34,13,0,0,1,9,17,6,1,,,,,,,,,,,,,,,,,,,,,,
6820,3,75,21,12,26,11,38,53,2,0,0,,,,,,,,,,,,,,,,,,,,,,
6054,4,86,13,10,45,19,19,31,11,2,0,,,,,,,,,,,,,,,,,,,,,,
7513,12,55,13,26,70,26,7,16,13,1,0,,,,,,,,,,,,,,,,,,,,,,
5892,5,67,45,13,28,9,22,44,3,2,0,,,,,,,,,,,,,,,,,,,,,,
7624,0,16,14,2,85,52,40,28,1,0,5,,,,,,,,,,,,,,,,,,,,,,
6963,4,86,38,2,12,4,38,51,1,0,4,,,,,,,,,,,,,,,,,,,,,,
7422,0,7,6,2,64,59,38,59,0,1,3,,,,,,,,,,,,,,,,,,,,,,
7236,1,6,13,1,99,29,38,47,1,0,5,,,,,,,,,,,,,,,,,,,,,,
7289,133,44,16,15,0,0,7,20,0,0,2,,,,,,,,,,,,,,,,,,,,,,
6559,39,65,35,22,7,2,6,14,37,7,6,,,,,,,,,,,,,,,,,,,,,,
5834,3,22,16,2,82,29,44,31,3,0,5,,,,,,,,,,,,,,,,,,,,,,
7135,14,80,32,13,28,4,17,39,5,0,4,,,,,,,,,,,,,,,,,,,,,,
5881,0,18,13,2,67,45,37,46,1,1,5,,,,,,,,,,,,,,,,,,,,,,
7419,0,58,12,10,52,49,17,29,3,0,0,,,,,,,,,,,,,,,,,,,,,,
7649,144,25,19,22,2,1,4,2,2,8,2,,,,,,,,,,,,,,,,,,,,,,
6157,1,64,17,7,21,38,32,42,0,5,0,,,,,,,,,,,,,,,,,,,,,,
6428,2,64,35,6,18,25,36,36,4,1,0,,,,,,,,,,,,,,,,,,,,,,
6941,0,18,29,6,75,19,27,49,4,0,5,,,,,,,,,,,,,,,,,,,,,,
6969,82,62,28,13,0,0,3,7,12,20,1,,,,,,,,,,,,,,,,,,,,,,
7490,53,60,35,18,12,2,12,6,23,6,6,,,,,,,,,,,,,,,,,,,,,,
6035,1,19,15,1,21,63,58,46,1,1,3,,,,,,,,,,,,,,,,,,,,,,
7840,0,1,8,9,92,44,33,38,1,0,5,,,,,,,,,,,,,,,,,,,,,,
7743,1,53,20,7,86,29,8,19,2,0,5,,,,,,,,,,,,,,,,,,,,,,
7942,114,25,44,24,0,0,2,10,1,5,2,,,,,,,,,,,,,,,,,,,,,,
7443,14,73,44,7,13,1,30,39,3,0,4,,,,,,,,,,,,,,,,,,,,,,
6067,3,58,16,11,40,35,25,24,10,1,0,,,,,,,,,,,,,,,,,,,,,,
7845,89,45,21,13,0,0,19,11,16,9,1,,,,,,,,,,,,,,,,,,,,,,
8186,88,33,23,29,3,0,10,14,21,2,1,,,,,,,,,,,,,,,,,,,,,,
6953,77,34,36,39,0,0,8,10,10,7,1,,,,,,,,,,,,,,,,,,,,,,
